box,title,address,type,types,kosher,phone,image-src
קסבה דל פלורנטין,"קסבה דל פלורנטין, פלורנטין, תל אביב","פלורנטין 3, תל אביב",סנדוויץ' בר,null,null,053-9367861,https://images.rest.co.il/Rests/staticmaps/80025721/s1w566h250lon34.767524lat32.056301.png
יאיר לוי,"יאיר לוי, תל אביב","אונקלוס 17, תל אביב",מטבח ביתי,null,null,054-6999849,https://images.rest.co.il/Rests/staticmaps/80290374/s1w566h250lon34.79743lat32.096033.png
דקא - Deca,"דקא - Deca, תל אביב","התעשיה 10, תל אביב",מסעדת דגים,אוכל גורמה ודגים,כשר למהדרין,053-9442900,https://images.rest.co.il/Rests/staticmaps/80037125/s1w566h250lon34.786435lat32.067129.png
מגזינו,"מגזינו, תל אביב","דרך מנחם בגין 21, תל אביב",מסעדה איטלקית,null,₪₪,053-9381253,https://images.rest.co.il/Rests/staticmaps/80224089/s1w566h250lon34.779811lat32.06356.png
לחמנינה,"לחמנינה, רמת החייל, תל אביב","ראול וולנברג 20, רמת החייל, תל אביב",קונדיטוריה-מאפיה,null,null,053-4362882,https://images.rest.co.il/Rests/staticmaps/80248135/s1w566h250lon34.837534lat32.110007.png
מוזס - Moses,"מוזס - Moses, שדרות רוטשילד, תל אביב","שד' רוטשילד 35, תל אביב",מסעדת המבורגרים,בשרים והמבורגר,₪,053-7104407,https://images.rest.co.il/Rests/staticmaps/80304665/s1w566h250lon34.773654lat32.06384.png
תמרה יוגורט,"תמרה יוגורט, נחלת בנימין, תל אביב","שד' רוטשילד 19, נחלת בנימין, תל אביב",גלידריה,null,₪,053-9438948,https://images.rest.co.il/Rests/staticmaps/80265608/s1w566h250lon34.771653lat32.063237.png
דון אנטון תל אביב,"דון אנטון תל אביב, תל אביב","יהודה מרגוזה 35, תל אביב",פיצריה,null,null,03-7413231,https://images.rest.co.il/Rests/staticmaps/80323378/s1w566h250lon34.778934lat32.066236.png
עלמה לאונג' - Alma lounge,"עלמה לאונג' - Alma lounge, תל אביב","יבנה 23, תל אביב",מסעדה חלבית,null,כשר,053-8093682,https://images.rest.co.il/Rests/staticmaps/80141189/s1w566h250lon34.773624lat32.064353.png
מאפית סולטאן ובניו,"מאפית סולטאן ובניו, יפו, תל אביב","יפת 77, יפו, תל אביב",קונדיטוריה-מאפיה,null,₪,053-9377037,https://images.rest.co.il/Rests/staticmaps/12418190/s1w566h250lon34.752431lat32.045193.png
פינת השלושה,"פינת השלושה, רמת החייל, תל אביב","הברזל 24, רמת החייל, תל אביב",מסעדה בוכרית,null,כשר,053-9385882,https://images.rest.co.il/Rests/staticmaps/80003419/s1w566h250lon34.839655lat32.108824.png
חומוס  אליהו,"חומוס  אליהו, תל אביב  פלורנטין","מעון 4, תל אביב",חומוס,null,null,03-6967700,https://images.rest.co.il/Rests/staticmaps/80327942/s1w566h250lon34.778934lat32.066236.png
ארומה,"ארומה, תל אביב  פינת שוקן","דרך קיבוץ גלויות 71, תל אביב",בית קפה,null,₪,053-9376840,https://images.rest.co.il/Rests/staticmaps/80075558/s1w566h250lon34.771931lat32.050503.png
פרישדון דיזי,"פרישדון דיזי, דיזנגוף, תל אביב","דיזינגוף 121, תל אביב",פאב-בר,null,₪,053-9376946,https://images.rest.co.il/Rests/staticmaps/80212547/s1w566h250lon34.773755lat32.081102.png
מזל ועליזה,"מזל ועליזה, יד אליהו, תל אביב","השלושה 2, יד אליהו, תל אביב",מסעדת בשרים,null,כשר,053-9367101,https://images.rest.co.il/Rests/staticmaps/80181871/s1w566h250lon34.788946lat32.06192.png
לחם ארז,"לחם ארז, צפון תל אביב","טאגור 38, צפון תל אביב",בית קפה,null,כשר,053-9439934,https://images.rest.co.il/Rests/staticmaps/80049228/s1w566h250lon34.797372lat32.117524.png
פאב עמירם,"פאב עמירם, תל אביב","התערוכה 8, תל אביב",פאב-בר,null,null,053-9439312,https://images.rest.co.il/Rests/staticmaps/80020301/s1w566h250lon34.776243lat32.097286.png
טפאו - TAPEO,"טפאו - TAPEO, רחוב הארבעה, תל אביב","הארבעה 16, תל אביב",מסעדה ספרדית,null,₪₪,053-9345541,https://images.rest.co.il/Rests/staticmaps/80253035/s1w566h250lon34.785015lat32.070297.png
דידו gril & bar,"דידו gril & bar, תל אביב","סלומון 7, תל אביב",מסעדת בשרים,null,כשר,053-9386619,https://images.rest.co.il/Rests/staticmaps/80301853/s1w566h250lon34.779841lat32.061366.png
סנטרו קפה,"סנטרו קפה, דיזנגוף, תל אביב","דיזנגוף 69, תל אביב",בית קפה,null,null,053-9367026,https://images.rest.co.il/Rests/staticmaps/80260246/s1w566h250lon34.774616lat32.076315.png
המכבסה - Black Cat Club,"המכבסה - Black Cat Club, יד חרוצים, תל אביב","שבח 11, יד חרוצים, תל אביב",פאב-בר,null,null,053-9386014,https://images.rest.co.il/Rests/staticmaps/80297443/s1w566h250lon34.783639lat32.061648.png
פטלינה - petelina,"פטלינה - petelina, צפון תל אביב  פינת רחוב אבוקה 12","עיר שמש 73, צפון תל אביב",בית קפה,null,₪₪,053-9443919,https://images.rest.co.il/Rests/staticmaps/80033206/s1w566h250lon34.830554lat32.124457.png
חומוס הכרם,"חומוס הכרם, תל אביב","שוקן 30, תל אביב",חומוס,null,"כשר בד""ץ",053-9385761,https://images.rest.co.il/Rests/staticmaps/80253508/s1w566h250lon34.772051lat32.051573.png
מתוקות,"מתוקות, דיזנגוף, תל אביב","דיזנגוף 105, תל אביב",אוכל רחוב,null,null,053-4272565,https://images.rest.co.il/Rests/staticmaps/80238083/s1w566h250lon34.773767lat32.079785.png
אלנה במלון נורמן - Alena restaurant at the Norman,"אלנה במלון נורמן - Alena restaurant at the Norman, תל אביב","נחמני 25, תל אביב",מסעדה איטלקית,"ארוחת בוקר , בשרים , דגים , פירות ים ואוכל ים תיכוני",null,053-9380353,https://images.rest.co.il/Rests/staticmaps/80220933/s1w566h250lon34.775461lat32.065841.png
בר 911,"בר 911, יד חרוצים, תל אביב","יד חרוצים 14, תל אביב",null,null,null,052-8113522,https://images.rest.co.il/Rests/staticmaps/80170081/s1w566h250lon34.783429lat32.061763.png
לה שוק בר,"לה שוק בר, דיזנגוף, תל אביב","דיזנגוף 90, תל אביב",פאב-בר,null,null,053-5842619,https://images.rest.co.il/Rests/staticmaps/80256264/s1w566h250lon34.774465lat32.077144.png
Valium,"Valium, תל אביב","בן יהודה 1, תל אביב",פאב-בר,null,null,050-9966696,https://images.rest.co.il/Rests/staticmaps/80328723/s1w566h250lon34.778934lat32.066236.png
קלבדוס קייטרינג לאירועים,"קלבדוס קייטרינג לאירועים, קניון עזריאלי, תל אביב","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",null,null,null,054-3113366,https://images.rest.co.il/Rests/staticmaps/80017741/s1w566h250lon34.791061lat32.074354.png
מפגש הסטייק סטריט בר,"מפגש הסטייק סטריט בר, אבן גבירול, תל אביב","אבן גבירול 14, תל אביב",סנדוויץ' בר,null,כשר,053-9377571,https://images.rest.co.il/Rests/staticmaps/80274190/s1w566h250lon34.781934lat32.072767.png
fishchipskitchen,"fishchipskitchen, תל אביב  קניון עזריאלי  - קומה 2","דרך מנחם בגין 132, תל אביב",null,null,null,03-5154300,https://images.rest.co.il/Rests/staticmaps/80320172/s1w566h250lon34.778934lat32.066236.png
קפה זוהו,"קפה זוהו, תל אביב","גורדון 17, תל אביב",פיצריה,null,null,053-9428318,https://images.rest.co.il/Rests/staticmaps/80113167/s1w566h250lon34.77119lat32.082325.png
בוצ'רי דה ברילוצ'ה - butchery de bariloche,"בוצ'רי דה ברילוצ'ה - butchery de bariloche, רמת החייל, תל אביב","הברזל 4, רמת החייל, תל אביב",מסעדת בשרים,"אוכל דרום אמריקאי , בשרים ואוכל גורמה",₪₪₪,053-9443212,https://images.rest.co.il/Rests/staticmaps/80087704/s1w566h250lon34.835885lat32.106756.png
גלבי - המטבח של ענתי,"גלבי - המטבח של ענתי, תל אביב","סמ' הכרמל 23, תל אביב",מטבח ביתי,null,null,053-9379612,https://images.rest.co.il/Rests/staticmaps/80145303/s1w566h250lon34.766613lat32.068307.png
מנסורה - Mansura,"מנסורה - Mansura, תל אביב","דרך שלמה 13, תל אביב",null,null,null,03-9446556,https://images.rest.co.il/Rests/staticmaps/80282102/s1w566h250lon34.761522lat32.054772.png
הסבזיה,"הסבזיה, פלורנטין, תל אביב","הרב יצחק ידידיה פרנקל 9, פלורנטין, תל אביב",מסעדה פרסית,null,null,053-9386952,https://images.rest.co.il/Rests/staticmaps/80310670/s1w566h250lon34.767788lat32.057185.png
קפה רוחל'ה,"קפה רוחל'ה, תל אביב","בן יהודה 120, תל אביב",בית קפה,null,כשר,053-8093578,https://images.rest.co.il/Rests/staticmaps/80049227/s1w566h250lon34.771943lat32.083797.png
ארקפה - Arcaffe,"ארקפה - Arcaffe, צפון תל אביב","רב אשי 14, צפון תל אביב",בית קפה,null,null,053-7931728,https://images.rest.co.il/Rests/staticmaps/80174925/s1w566h250lon34.79974lat32.120609.png
פואגו גריל טאבון,"פואגו גריל טאבון, תל אביב","אלנבי 119, תל אביב",null,null,null,03-5092950,https://images.rest.co.il/Rests/staticmaps/80164712/s1w566h250lon34.773643lat32.061631.png
ארקפה - Arcaffe,"ארקפה - Arcaffe, רמת החייל, תל אביב  רמת החייל","הברזל 21, רמת החייל, תל אביב",בית קפה,null,null,053-9346119,https://images.rest.co.il/Rests/staticmaps/80280951/s1w566h250lon34.839037lat32.108583.png
אוליבר פיצה,"אוליבר פיצה, תל אביב","הקשת 3, תל אביב",פיצריה,null,null,03-6833366,https://images.rest.co.il/Rests/staticmaps/80096630/s1w566h250lon34.774905lat32.041865.png
Mamy-סלטים ואוכל מוכן עד הבית,"Mamy-סלטים ואוכל מוכן עד הבית, תל אביב",תל אביב,מטבח ביתי,null,null,054-5672283,
ביאנקו נרו,"ביאנקו נרו, תל אביב","נחלת יצחק 18, תל אביב",גלידריה,null,₪,053-9415061,https://images.rest.co.il/Rests/staticmaps/80319458/s1w566h250lon34.778934lat32.066236.png
סושי בר בזל פרישמן,"סושי בר בזל פרישמן, תל אביב","פרישמן 20, תל אביב",מסעדה אסייאתית,"אוכל אסייאתי , אוכל טבעוני , אוכל יפני , דים סאם , סושי",₪₪,053-9367972,https://images.rest.co.il/Rests/staticmaps/80170728/s1w566h250lon34.770383lat32.079798.png
בר לחם,"בר לחם, נאות אפקה, תל אביב","קהילת סלוניקי 7, נאות אפקה, תל אביב",קונדיטוריה-מאפיה,null,null,053-9439961,https://images.rest.co.il/Rests/staticmaps/80005905/s1w566h250lon34.82446lat32.113849.png
לה לזניה - La Lasagna,"לה לזניה - La Lasagna, דיזנגוף, תל אביב","דיזנגוף 177, תל אביב",מסעדה איטלקית,null,כשר,053-9442921,https://images.rest.co.il/Rests/staticmaps/80001536/s1w566h250lon34.774437lat32.085169.png
האוכל של אתי,"האוכל של אתי, יפו, תל אביב","קורצ'ק יאנוש 15, יפו, תל אביב",מטבח ביתי,null,null,054-4423589,https://images.rest.co.il/Rests/staticmaps/80306424/s1w566h250lon34.750114lat32.038654.png
קפה הלוי,"קפה הלוי, תל אביב","יהודה הלוי 33, תל אביב",בית קפה,null,כשר,053-9373273,https://images.rest.co.il/Rests/staticmaps/34681130/s1w566h250lon34.771717lat32.061809.png
טרמציני בשדרה,"טרמציני בשדרה, שדרות רוטשילד, תל אביב","שד' רוטשילד 78, תל אביב",בית קפה,null,null,053-9379594,https://images.rest.co.il/Rests/staticmaps/80265571/s1w566h250lon34.777021lat32.065396.png
לה קוצ'ינה,"לה קוצ'ינה, תל אביב","בוגרשוב 31, תל אביב",מסעדה איטלקית,null,כשר למהדרין,053-4872745,https://images.rest.co.il/Rests/staticmaps/80256385/s1w566h250lon34.77032lat32.076709.png
פיצה אנד טורטיה,"פיצה אנד טורטיה, תל אביב","אלנבי 79, תל אביב",פיצריה,null,כשר,053-7102233,https://images.rest.co.il/Rests/staticmaps/80023562/s1w566h250lon34.771633lat32.066762.png
Bakery 60,"Bakery 60, תל אביב","המסגר 60, תל אביב",קונדיטוריה-מאפיה,null,כשר,053-9349585,https://images.rest.co.il/Rests/staticmaps/80318946/s1w566h250lon34.787003lat32.067078.png
מפגש הסטייק,"מפגש הסטייק, תל אביב","דרך מנחם בגין 37, תל אביב",מסעדת בשרים,null,כשר,053-9381521,https://images.rest.co.il/Rests/staticmaps/80135887/s1w566h250lon34.782073lat32.064846.png
מאמא קוקה,"מאמא קוקה, יפו, תל אביב  כיכר השעון","רוסלאן 30, יפו, תל אביב",מסעדה מזרחית,"אוכל ביתי , אוכל מזרחי , בשרים , דגים ותבשיל","כשר בד""ץ",053-9443772,https://images.rest.co.il/Rests/staticmaps/546920/s1w566h250lon34.755521lat32.054715.png
Burger King תל אביב - Burger King,"Burger King תל אביב - Burger King, רמת החייל, תל אביב  רמת החייל","ראול וולנברג 18, רמת החייל, תל אביב",מסעדת המבורגרים,null,₪,053-9368468,https://images.rest.co.il/Rests/staticmaps/80242223/s1w566h250lon34.837158lat32.109677.png
אלדין,"אלדין, יפו, תל אביב  יפו העתיקה","מפרץ שלמה 5, יפו, תל אביב",מסעדת דגים,null,null,03-6826766,https://images.rest.co.il/Rests/staticmaps/61193330/s1w566h250lon34.753079lat32.055018.png
הטבעונית -  j17,"הטבעונית -  j17, דיזנגוף, תל אביב","ירמיהו 17, דיזנגוף, תל אביב",מסעדה טבעונית,null,כשר,053-9386178,https://images.rest.co.il/Rests/staticmaps/80292989/s1w566h250lon34.775809lat32.094814.png
הברזל 36,"הברזל 36, תל אביב","הברזל 36, תל אביב",פאב-בר,null,null,054-2836760,https://images.rest.co.il/Rests/staticmaps/80322057/s1w566h250lon34.778934lat32.066236.png
הג'חנון של קייסי,"הג'חנון של קייסי, תל אביב","מונטיפיורי 26, תל אביב",מטבח ביתי,null,₪,053-9366274,https://images.rest.co.il/Rests/staticmaps/80257686/s1w566h250lon34.772052lat32.065233.png
לה מר - La mer,"לה מר - La mer, תל אביב","הרברט סמואל 91, תל אביב",בית קפה,null,null,053-9369700,https://images.rest.co.il/Rests/staticmaps/80261396/s1w566h250lon34.766563lat32.077389.png
לוס ברנינג טאקוס,"לוס ברנינג טאקוס, תל אביב","אלנבי 97, תל אביב",מסעדה דרום אמריקאית,null,null,053-9372885,https://images.rest.co.il/Rests/staticmaps/80205008/s1w566h250lon34.772541lat32.064741.png
סינמה קפה,"סינמה קפה, תל אביב","שפרינצק 2, תל אביב",null,null,₪,053-4294168,https://images.rest.co.il/Rests/staticmaps/65149470/s1w566h250lon34.783039lat32.070835.png
ארומה,"ארומה, דיזנגוף, תל אביב  דיזנגוף סנטר, קומה א'","דיזנגוף 55, תל אביב",בית קפה,null,כשר,03-6496991,https://images.rest.co.il/Rests/staticmaps/80014602/s1w566h250lon34.775016lat32.075536.png
האווזים,"האווזים, נמל תל-אביב","יורדי הסירה 3, נמל תל-אביב",מסעדת בשרים,null,₪₪,053-9424947,https://images.rest.co.il/Rests/staticmaps/80292569/s1w566h250lon34.774199lat32.096351.png
ביף ביף,"ביף ביף, נחלת בנימין, תל אביב","אלנבי 60, נחלת בנימין, תל אביב",אוכל רחוב,null,null,053-4274644,https://images.rest.co.il/Rests/staticmaps/80241201/s1w566h250lon34.770349lat32.070003.png
פאפי צ'ולו פיצה Papi Chulo Pizza,"פאפי צ'ולו פיצה Papi Chulo Pizza, תל אביב","שד' דוד המלך 1, תל אביב",פיצריה,null,null,055-6609167,https://images.rest.co.il/Rests/staticmaps/80329115/s1w566h250lon34.778934lat32.066236.png
STUDIO TLV סטודיו,"STUDIO TLV סטודיו, תל אביב","ניסים אלוני 10, תל אביב",null,null,null,03-6910891,https://images.rest.co.il/Rests/staticmaps/80329432/s1w566h250lon34.778934lat32.066236.png
ניו יורק-ניו יורק,"ניו יורק-ניו יורק, תל אביב","אבן גבירול 30, תל אביב",מסעדה אמריקאית,null,null,03-6951541,https://images.rest.co.il/Rests/staticmaps/40622950/s1w566h250lon34.778934lat32.066236.png
גומבה,"גומבה, תל אביב","יגאל אלון 94, תל אביב",מסעדה איטלקית,null,null,053-8674676,https://images.rest.co.il/Rests/staticmaps/80308294/s1w566h250lon34.793477lat32.068706.png
נרגילת פטרה,"נרגילת פטרה, יפו, תל אביב","אילת 5, יפו, תל אביב",בית קפה,"ארוחת בוקר , קפה , מאפה ואוכל חלבי",null,053-9385714,https://images.rest.co.il/Rests/staticmaps/80253118/s1w566h250lon34.760262lat32.05701.png
אריס בר - Aris Bar,"אריס בר - Aris Bar, דיזנגוף, תל אביב","דיזנגוף 226, תל אביב",פאב-בר,null,null,053-9379001,https://images.rest.co.il/Rests/staticmaps/80285151/s1w566h250lon34.775472lat32.088823.png
eidika,"eidika, תל אביב",תל אביב,מטבח ביתי,null,null,053-3667793,
דלידה,"דלידה, פלורנטין, תל אביב","זבולון 7, פלורנטין, תל אביב",מסעדה ים תיכונית,null,null,053-7104610,https://images.rest.co.il/Rests/staticmaps/80162799/s1w566h250lon34.773015lat32.060076.png
בישולים,"בישולים, תל אביב","קרליבך 15, תל אביב",מסעדה מזרחית,null,כשר,053-9368223,https://images.rest.co.il/Rests/staticmaps/80156548/s1w566h250lon34.783182lat32.067536.png
חומוס אליהו,"חומוס אליהו, תל אביב","בני אפרים 209, תל אביב",חומוס,null,null,03-7437090,https://images.rest.co.il/Rests/staticmaps/80324989/s1w566h250lon34.778934lat32.066236.png
בנז,"בנז, פלורנטין, תל אביב","הרב יצחק ידידיה פרנקל 4, פלורנטין, תל אביב",מסעדת בשרים,null,null,053-9418304,https://images.rest.co.il/Rests/staticmaps/80166673/s1w566h250lon34.76767lat32.057053.png
צחי בשרים,"צחי בשרים, תל אביב","דרך קיבוץ גלויות 106, תל אביב",מסעדת בשרים,null,"כשר בד""ץ",053-9374876,https://images.rest.co.il/Rests/staticmaps/80233623/s1w566h250lon34.776845lat32.048114.png
ג'חנון של שבת,"ג'חנון של שבת, תל אביב","דיזנגוף 123, תל אביב",מטבח ביתי,null,null,050-5906750,https://images.rest.co.il/Rests/staticmaps/80323967/s1w566h250lon34.778934lat32.066236.png
ארקפה - Arcaffe,"ארקפה - Arcaffe, תל אביב  בית אסיה","ויצמן 4, תל אביב",בית קפה,null,כשר,053-9380653,https://images.rest.co.il/Rests/staticmaps/80280934/s1w566h250lon34.788521lat32.078138.png
מסעדת שמוליק כהן,"מסעדת שמוליק כהן, תל אביב","הרצל 146, תל אביב",מסעדה מזרח אירופאית,"אוכל ביתי , בשרים , תבשיל ואוכל מזרח אירופאי",כשר למהדרין,053-9440050,https://images.rest.co.il/Rests/staticmaps/4180200/s1w566h250lon34.77014lat32.051708.png
ארומה,"ארומה, צפון תל אביב","ד""ר ג'ורג' ס. וייז 20, צפון תל אביב",בית קפה,null,₪,053-9385036,https://images.rest.co.il/Rests/staticmaps/80235362/s1w566h250lon34.802869lat32.107783.png
פנקס הקטן,"פנקס הקטן, תל אביב","פנקס 31, תל אביב",בית קפה,null,null,053-9416242,https://images.rest.co.il/Rests/staticmaps/80310646/s1w566h250lon34.787304lat32.091045.png
זיקה,"זיקה, יפו, תל אביב","יפת 160, יפו, תל אביב",מסעדת בשרים,null,null,053-9438793,https://images.rest.co.il/Rests/staticmaps/2376850/s1w566h250lon34.751375lat32.041072.png
המבורג - Hamburg,"המבורג - Hamburg, תל אביב  טיילת","הרברט סמואל 76, תל אביב",מסעדה אמריקאית,null,null,053-6113500,https://images.rest.co.il/Rests/staticmaps/80279212/s1w566h250lon34.765961lat32.075646.png
בטאבון מאפיה עברית,"בטאבון מאפיה עברית, תל אביב","בן יהודה 7, תל אביב",קונדיטוריה-מאפיה,null,null,03-5237332,https://images.rest.co.il/Rests/staticmaps/80133385/s1w566h250lon34.768089lat32.073977.png
בריאלי,"בריאלי, תל אביב",תל אביב,קונדיטוריה-מאפיה,null,null,052-5450157,
יהודה הלוי,"יהודה הלוי, תל אביב","לינקולן 13, תל אביב",סנדוויץ' בר,null,כשר,053-8093056,https://images.rest.co.il/Rests/staticmaps/32609570/s1w566h250lon34.782333lat32.066727.png
זו זו 32,"זו זו 32, שדרות רוטשילד, תל אביב","שד' רוטשילד 32, תל אביב",פאב-בר,null,null,053-9385147,https://images.rest.co.il/Rests/staticmaps/80236722/s1w566h250lon34.772939lat32.063296.png
Arcaffe,"Arcaffe, יד אליהו, תל אביב","יגאל אלון, יד אליהו, תל אביב",בית קפה,null,null,053-7931184,https://images.rest.co.il/Rests/staticmaps/80315673/s1w566h250lon34.791999lat32.059247.png
קונדיטורית שו,"קונדיטורית שו, תל אביב",תל אביב,null,null,null,03-6245354,
סאנט ג'ורג' יפו,"סאנט ג'ורג' יפו, יפו, תל אביב","לואי פסטר 5, יפו, תל אביב",מסעדת בשרים,"בשרים , פירות ים ואוכל ים תיכוני",null,053-9365798,https://images.rest.co.il/Rests/staticmaps/80181796/s1w566h250lon34.752479lat32.052387.png
ויוידה - vivida,"ויוידה - vivida, תל אביב","שלום עליכם 34, תל אביב",מסעדה טבעונית,null,null,053-6110330,https://images.rest.co.il/Rests/staticmaps/80311132/s1w566h250lon34.76965lat32.077048.png
גרטנר קופי,"גרטנר קופי, תל אביב","דרך מנחם בגין 23, תל אביב",בית קפה,null,null,053-9367197,https://images.rest.co.il/Rests/staticmaps/80184221/s1w566h250lon34.780129lat32.063734.png
חיים נלו,"חיים נלו , תל אביב  יפו","אילת 11, תל אביב",מסעדת בשרים,"אוכל רומני , בשרים , דגים ופירות ים",₪₪,053-9444068,https://images.rest.co.il/Rests/staticmaps/12081310/s1w566h250lon34.761612lat32.057221.png
סילבר'ס קייטרינג  Silvers catering,"סילבר'ס קייטרינג  Silvers catering, תל אביב","בוגרשוב 27, תל אביב",קייטרינג,null,null,052-5909090,https://images.rest.co.il/Rests/staticmaps/80309924/s1w566h250lon34.770057lat32.076844.png
חומוס כספי,"חומוס כספי, נאות אפקה, תל אביב  נאות אפקה","נתן אלתרמן 13, נאות אפקה, תל אביב",חומוס,null,₪,053-8096671,https://images.rest.co.il/Rests/staticmaps/80152519/s1w566h250lon34.820638lat32.119883.png
טי האוס סלון&גארדן,"טי האוס סלון&גארדן, אבן גבירול, תל אביב","אבן גבירול 26, תל אביב",פאב-בר,null,null,053-9415823,https://images.rest.co.il/Rests/staticmaps/80314336/s1w566h250lon34.781846lat32.074397.png
Omfoodservice,"Omfoodservice, תל אביב  שכונת התקווה",תל אביב,קייטרינג,null,כשר,053-9366515,
עשרים ושניים - twenty two,"עשרים ושניים  - twenty two, תל אביב","ירמיהו 22, תל אביב",פאב-בר,null,null,054-9963944,https://images.rest.co.il/Rests/staticmaps/80171427/s1w566h250lon34.775458lat32.094659.png
צינה בר - Tzina,"צינה בר - Tzina, דיזנגוף, תל אביב","דיזנגוף 116, תל אביב",פאב-בר,טאפאס וקוקטייל,null,053-9386992,https://images.rest.co.il/Rests/staticmaps/80302954/s1w566h250lon34.773879lat32.080594.png
הקולקטיב,"הקולקטיב, צפון תל אביב","קריית עתידים 8, צפון תל אביב",null,null,null,03-6244817,https://images.rest.co.il/Rests/staticmaps/80163903/s1w566h250lon34.842959lat32.11516.png
Ligori,"Ligori, תל אביב","דיזנגוף 201, תל אביב",בית קפה,null,null,03-5225100,https://images.rest.co.il/Rests/staticmaps/80328680/s1w566h250lon34.778934lat32.066236.png
Pizza Garage,"Pizza Garage, תל אביב","החשמונאים 96, תל אביב",פיצריה,null,null,053-9377706,https://images.rest.co.il/Rests/staticmaps/80280363/s1w566h250lon34.785939lat32.06928.png
The Bosses,"The Bosses, תל אביב","דיזנגוף 179, תל אביב",פאב-בר,null,null,054-2131799,https://images.rest.co.il/Rests/staticmaps/80327571/s1w566h250lon34.778934lat32.066236.png
קפה לנדוור היכל התרבות,"קפה לנדוור היכל התרבות, תל אביב  היכל התרבות","דיזנגוף 11, תל אביב",בית קפה,null,כשר,053-9380605,https://images.rest.co.il/Rests/staticmaps/80163687/s1w566h250lon34.780435lat32.073768.png
פיצה שמש,"פיצה שמש, תל אביב","דרך שלמה 106, תל אביב",פיצריה,null,כשר למהדרין,053-9380087,https://images.rest.co.il/Rests/staticmaps/80288482/s1w566h250lon34.7756lat32.054753.png
גשן,"גשן, נחלת בנימין, תל אביב","נחלת בנימין 30, תל אביב",מסעדת בשרים,null,כשר,053-4362840,https://images.rest.co.il/Rests/staticmaps/80054173/s1w566h250lon34.770664lat32.065588.png
קפה בית הבד,"קפה בית הבד, מתחם שרונה, תל אביב  מתחם שרונה","אלוף דוד אלעזר 22, מתחם שרונה, תל אביב",בית קפה,null,₪,053-9367296,https://images.rest.co.il/Rests/staticmaps/80184832/s1w566h250lon34.788021lat32.071759.png
פלאפל אציר,"פלאפל אציר, מעוז אביב, תל אביב","קהילת ורשה 54, מעוז אביב, תל אביב",null,null,null,03-6477993,https://images.rest.co.il/Rests/staticmaps/80018749/s1w566h250lon34.822431lat32.1104.png
הטריפוליטאית של בכור,"הטריפוליטאית של בכור, תל אביב","יהודה הלוי 39, תל אביב",מטבח ביתי,null,כשר,053-9370882,https://images.rest.co.il/Rests/staticmaps/80208261/s1w566h250lon34.772452lat32.061816.png
ארפאס - Arepas,"ארפאס - Arepas, פלורנטין, תל אביב","הרצל 77, פלורנטין, תל אביב",סנדוויץ' בר,null,null,053-9370368,https://images.rest.co.il/Rests/staticmaps/80203732/s1w566h250lon34.77089lat32.056368.png
ברגר קינג - Burger King,"ברגר קינג - Burger King, דיזנגוף, תל אביב  דיזנגוף סנטר","דיזנגוף 50, תל אביב",מסעדת המבורגרים,null,כשר,053-9373831,https://images.rest.co.il/Rests/staticmaps/80242230/s1w566h250lon34.775501lat32.075167.png
ג'לטריה  גלידה איטלקית - Gelateria,"ג'לטריה  גלידה איטלקית - Gelateria, צפון תל אביב","אורי צבי גרינברג 25, צפון תל אביב",גלידריה,null,₪,053-7933473,https://images.rest.co.il/Rests/staticmaps/80187345/s1w566h250lon34.792058lat32.130042.png
הפינה של רותי,"הפינה של רותי, תל אביב","אליהו גולומב 64, תל אביב",null,null,null,03-7798377,https://images.rest.co.il/Rests/staticmaps/80329078/s1w566h250lon34.778934lat32.066236.png
טי בר,"טי בר, צפון תל אביב","שיטרית 2, צפון תל אביב",null,null,null,03-6444336,https://images.rest.co.il/Rests/staticmaps/80025789/s1w566h250lon34.816004lat32.106708.png
מידו אוכל שמח,"מידו אוכל שמח, צפון תל אביב","הלל  28, צפון תל אביב",קייטרינג,null,null,053-9387491,https://images.rest.co.il/Rests/staticmaps/80228516/s1w566h250lon34.828246lat32.122826.png
גרינברג ביסטרו,"גרינברג ביסטרו, צפון תל אביב","אורי צבי גרינברג 25, צפון תל אביב",ביסטרו,null,₪₪,053-7102679,https://images.rest.co.il/Rests/staticmaps/80158714/s1w566h250lon34.792058lat32.130042.png
קפה לב,"קפה לב, נמל תל-אביב","נמל ת""א",בית קפה,null,₪,053-9381200,https://images.rest.co.il/Rests/staticmaps/80224191/s1w566h250lon34.772775lat32.094702.png
סושי נודלס,"סושי נודלס, תל אביב","הרצל 15, תל אביב",מסעדה אסייאתית,null,null,03-5104005,https://images.rest.co.il/Rests/staticmaps/80100306/s1w566h250lon34.770276lat32.061842.png
שושה - SHU SHA,"שושה - SHU SHA, תל אביב","בוגרשוב 45, תל אביב",מסעדת המבורגרים,null,null,053-9443858,https://images.rest.co.il/Rests/staticmaps/80099673/s1w566h250lon34.771422lat32.076138.png
טוסי,"טוסי, קניון עזריאלי, תל אביב  קומה 49 בבניין העגול","דרך מנחם בגין 132, קניון עזריאלי, תל אביב",מסעדת קונספט,"בשרים , אוכל גורמה , דגים ופיוז'ן",כשר,053-9440445,https://images.rest.co.il/Rests/staticmaps/80192561/s1w566h250lon34.791061lat32.074354.png
